"ROC_observed_outcome","ROC_observed_corrected","sum_low_risk","sum_high_risk","sum_outcome_observed","sum_outcome_true","sum_high_risk_observed","sum_high_risk_true","sum_low_risk_observed","sum_low_risk_true"
0.77027378097522,0.808664135943609,1070,221,40,51,20,11,20,40
0.764777131782946,0.817261450374193,1075,216,43,91,24,23,19,68
0.701542714464063,0.757055201090904,1070,221,45,97,15,23,30,74
0.790502597220272,0.831592683296876,1051,240,34,62,22,16,12,46
0.710048694112439,0.780111187639237,1075,216,36,102,16,22,20,80
0.757874733961691,0.797504709880642,1099,192,26,146,12,25,14,121
0.709136169662485,0.74662189591042,1065,226,37,82,14,20,23,62
0.750192706075059,0.785930437664732,1052,239,33,58,14,19,19,39
0.711853558627752,0.75637495209362,1058,233,31,66,12,18,19,48
0.735402833111996,0.734611799006211,1067,224,36,17,18,9,18,8
0.663884472708002,0.721450918888832,1073,218,33,64,11,9,22,55
0.741003322570078,0.771843448061068,1045,246,34,51,16,17,18,34
0.768168886589939,0.812825293702233,1062,229,37,30,21,15,16,15
0.676057779799818,0.678657090984268,1052,239,35,15,16,4,19,11
0.70542911332385,0.768614674127011,1048,243,37,144,18,26,19,118
0.703717026378897,0.702091517741497,1059,232,40,17,16,7,24,10
0.700486941124391,0.757439106602629,1063,228,36,54,14,16,22,38
0.752064246126004,0.78100850682531,1068,223,28,32,14,11,14,21
0.738284352660842,0.740885634070681,1071,220,32,18,12,7,20,11
0.745494111623144,0.791782502918497,1076,215,31,85,13,13,18,72
0.716833077316948,0.723535479499773,1087,204,31,16,11,6,20,10
0.694730990741416,0.736936287840689,1068,223,44,54,17,15,27,39
0.714355975736379,0.775072362419519,1066,225,29,100,15,19,14,81
0.793107069349351,0.817430231632431,1069,222,38,90,22,21,16,69
0.761490099725394,0.780280811814727,1056,235,33,23,16,10,17,13
0.823365853658537,0.870113226337581,1064,227,41,48,30,22,11,26
0.671441172764313,0.709815535010682,1051,240,38,70,17,20,21,50
0.713056790843479,0.754938204769792,1075,216,44,113,20,27,24,86
0.763594459263419,0.803805444497763,1066,225,34,79,21,24,13,55
0.743161735504369,0.791483974331563,1078,213,32,75,18,20,14,55
0.787793506111648,0.817301383462161,1062,229,38,24,23,9,15,15
0.725924035867901,0.761443056990758,1073,218,44,89,21,32,23,57
0.777777777777778,0.819986704234329,1077,214,31,36,18,6,13,30
0.809205275759231,0.85099698769588,1070,221,38,54,24,15,14,39
0.711895321173672,0.762702623349673,1059,232,30,44,14,14,16,30
0.779293381037567,0.820268351285631,1066,225,43,112,27,30,16,82
0.756278705256251,0.790451861050878,1078,213,44,36,23,9,21,27
0.720473157415833,0.74708324863305,1055,236,35,43,16,18,19,25
0.762462111903007,0.814212481916407,1065,226,39,46,20,12,19,34
0.767290022494186,0.771949948019289,1058,233,42,19,23,10,19,9
0.75601916203336,0.791011235668819,1072,219,32,70,16,14,16,56
0.673229912490056,0.735628848816641,1074,217,34,77,16,18,18,59
0.761422906159748,0.795811518327769,1041,250,37,119,18,21,19,98
0.744239631336405,0.789648192316926,1069,222,31,53,16,18,15,35
0.728443034628602,0.777592518924464,1083,208,30,95,12,21,18,74
0.775054039952296,0.812762629422005,1091,200,43,44,21,15,22,29
0.7772406733394,0.788625730891795,1055,236,35,19,19,9,16,10
0.728929758060742,0.768541246994475,1086,205,34,119,15,22,19,97
0.737175970374434,0.776769084180103,1063,228,23,25,9,7,14,18
0.80362908886705,0.85557602614783,1067,224,34,62,20,17,14,45
0.776342129208371,0.816355941860875,1060,231,35,130,19,26,16,104
0.727682227682228,0.77590149839528,1086,205,33,99,14,19,19,80
0.73488209432454,0.733349961364852,1077,214,40,18,19,8,21,10
0.821528398926655,0.858193049702086,1062,229,43,48,30,19,13,29
0.743134846076022,0.780183747859141,1068,223,33,27,17,8,16,19
0.756325703694125,0.813123448221791,1056,235,37,89,19,25,18,64
0.760778289810548,0.786699106639683,1074,217,31,31,16,8,15,23
0.721548522790759,0.772280372069279,1064,227,49,65,21,22,28,43
0.739309428950863,0.795031283584178,1060,231,36,98,19,31,17,67
0.669573754241488,0.727391460301848,1079,212,42,62,15,16,27,46
0.714575609756098,0.754473422794991,1059,232,41,97,19,22,22,75
0.814298750526463,0.850896095449664,1078,213,34,107,19,29,15,78
0.809971838197645,0.840812058555294,1046,245,31,37,19,15,12,22
0.78923860911271,0.806296024662901,1087,204,40,23,23,17,17,6
0.754853772425657,0.785481853253701,1058,233,39,19,23,10,16,9
0.693887667571878,0.782753138619585,1085,206,37,117,17,18,20,99
0.727372374089748,0.774806830499428,1054,237,42,54,23,15,19,39
0.699922532093847,0.703458885420122,1084,207,36,21,18,9,18,12
0.739324116743471,0.738034958368553,1085,206,31,12,12,3,19,9
0.690995808642867,0.744049173264717,1077,214,33,124,15,26,18,98
0.772222222222222,0.821542096558596,1067,224,36,97,20,23,16,74
0.724291722000885,0.763499052234319,1068,223,36,55,15,14,21,41
0.744931187023839,0.783545407627361,1075,216,39,64,19,10,20,54
0.737898089171975,0.790462727656132,1065,226,35,77,15,18,20,59
0.782663679722503,0.852320404140148,1053,238,33,85,16,20,17,65
0.75578905630452,0.784019991742559,1075,216,30,52,13,15,17,37
0.738194208799909,0.795300196106423,1064,227,28,46,16,13,12,33
0.813376856118792,0.85007204529337,1045,246,31,39,18,15,13,24
0.748830080958398,0.80199697559484,1089,202,34,87,17,21,17,66
0.730144589170148,0.731680697110014,1067,224,39,20,18,11,21,9
0.771802557953637,0.774680946977149,1043,248,40,25,25,17,15,8
0.765195291599786,0.815483970801134,1082,209,45,113,23,34,22,79
0.788969420174742,0.833614657152889,1081,210,32,113,18,22,14,91
0.798276716611384,0.822379060796762,1062,229,42,114,23,28,19,86
0.75936462778568,0.773990908046272,1106,185,37,26,15,5,22,21
0.734318282425852,0.775146210576136,1061,230,36,59,18,16,18,43
0.709290841643783,0.755751528532741,1075,216,33,54,13,12,20,42
0.736844718030183,0.785140496291794,1082,209,32,106,15,24,17,82
0.77410071942446,0.819166556382289,1063,228,40,120,20,35,20,85
0.74124203821656,0.787894659546365,1075,216,35,64,17,19,18,45
0.673268366446843,0.724185728261194,1062,229,38,73,13,19,25,54
0.714588228864965,0.744509936905709,1052,239,29,40,12,11,17,29
0.697086293080768,0.761641455026502,1077,214,24,131,12,24,12,107
0.724928634938462,0.760492255130316,1077,214,34,27,17,7,17,20
0.690712195121951,0.733044471177307,1067,224,41,48,18,10,23,38
0.743589743589744,0.788233399474298,1044,247,43,69,24,24,19,45
0.662842144731909,0.684422353885097,1100,191,21,75,7,14,14,61
0.775682723863104,0.818771120535119,1063,228,27,32,14,11,13,21
0.741230664240218,0.79796660390033,1076,215,35,105,13,23,22,82
0.669131707317073,0.708211334954751,1051,240,41,86,15,19,26,67
0.731608280254777,0.744915455973206,1068,223,35,25,17,12,18,13
0.748992747784045,0.791738440646387,1077,214,50,73,20,17,30,56
0.720019618334225,0.739943940496432,1059,232,45,28,21,12,24,16
0.806515616999488,0.80507216854936,1053,238,31,18,19,11,12,7
0.755058572949947,0.811013295892688,1037,254,39,71,23,20,16,51
0.771206565392003,0.810702322110609,1081,210,46,88,22,20,24,68
0.720827907758222,0.764844297855286,1084,207,38,79,12,23,26,56
0.74158860839249,0.791934149632779,1069,222,38,68,16,15,22,53
0.73611237488626,0.808752685681446,1090,201,35,122,18,29,17,93
0.719526864474739,0.753143729587127,1056,235,44,43,21,18,23,25
0.810087045570916,0.839416463465756,1081,210,31,88,20,20,11,68
0.745378904249872,0.771509176247298,1057,234,31,25,14,11,17,14
0.748694112439132,0.80858902379587,1063,228,36,47,20,17,16,30
0.752026714831772,0.786964855322439,1042,249,38,50,18,11,20,39
0.736798962979908,0.783559153191046,1088,203,42,58,20,17,22,41
0.692741216336722,0.697084261687947,1070,221,45,20,19,9,26,11
0.727417256829022,0.767210297980573,1096,195,33,37,16,10,17,27
0.71707103268861,0.750645732122801,1086,205,28,28,11,10,17,18
0.77968583599574,0.826450430396165,1096,195,39,90,19,24,20,66
0.813173933427098,0.834623421936766,1085,206,27,47,14,16,13,31
0.778120849933599,0.773642346673391,1040,251,36,23,20,14,16,9
0.765968220708923,0.827083062502635,1070,221,46,80,26,23,20,57
0.750542076887014,0.804278244833092,1050,241,27,79,15,14,12,65
0.749181073703367,0.803897228585371,1088,203,35,115,17,25,18,90
0.791758265442476,0.824207390809821,1043,248,37,53,21,16,16,37
0.746675820205232,0.783266977416823,1047,244,33,34,16,13,17,21
0.711177512173528,0.713163579795372,1090,201,36,27,18,12,18,15
0.774871127812304,0.774583412386403,1064,227,33,19,17,10,16,9
0.733348583628808,0.740665507382054,1062,229,42,17,21,9,21,8
0.70699218536532,0.749367292613363,1064,227,29,33,13,11,16,22
0.787045040946315,0.823669990081438,1071,220,35,50,21,16,14,34
0.772202001819836,0.789375492578446,1074,217,35,106,16,29,19,77
0.777912195121951,0.831142659360946,1069,222,41,145,21,29,20,116
0.750942082411731,0.816253149646361,1058,233,39,66,21,22,18,44
0.714058234758872,0.746576356014274,1073,218,35,24,15,7,20,17
0.827676447264076,0.858450763001343,1068,223,30,37,16,10,14,27
0.7527340174399,0.756357597805013,1056,235,33,14,20,12,13,2
0.738513235495817,0.779039971821409,1067,224,23,70,10,21,13,49
0.736266806355858,0.785691358285937,1053,238,46,89,23,18,23,71
0.784837969287939,0.840169112457531,1060,231,29,80,17,23,12,57
