"ROC_observed_outcome","ROC_observed_corrected","sum_low_risk","sum_medium_risk","sum_high_risk","sum_outcome_observed","sum_outcome_true","sum_high_risk_observed","sum_high_risk_true","sum_medium_risk_observed","sum_medium_risk_true","sum_low_risk_observed","sum_low_risk_true","mean_age_low_risk_true","mean_age_medium_risk_true","mean_age_high_risk_true"
0.778102628558938,0.80443825080333,741,334,216,29,39,14,6,10,16,5,17,42.2213587541649,41.3889736259366,43.5635025489192
0.682453985085564,0.735031705791197,709,367,215,37,64,14,15,11,19,12,30,42.2213587541649,41.3889736259366,43.5635025489192
0.715387689848122,0.738247037086001,727,337,227,40,31,15,9,15,9,10,13,42.2213587541649,41.3889736259366,43.5635025489192
0.780414808036906,0.811006810551999,703,345,243,42,52,25,16,10,16,7,20,42.2213587541649,41.3889736259366,43.5635025489192
0.816094005964632,0.835966917570086,724,338,229,38,28,22,5,13,11,3,12,42.2213587541649,41.3889736259366,43.5635025489192
0.72380275011854,0.757611373365409,741,345,205,37,60,15,14,13,17,9,29,42.2213587541649,41.3889736259366,43.5635025489192
0.716534496431404,0.757810427485517,715,344,232,30,51,15,14,6,14,9,23,42.2213587541649,41.3889736259366,43.5635025489192
0.754030675940788,0.793689583887391,730,330,231,45,27,25,12,10,4,10,11,42.2213587541649,41.3889736259366,43.5635025489192
0.744480625870402,0.780441773786757,730,347,214,39,32,17,9,15,8,7,15,42.2213587541649,41.3889736259366,43.5635025489192
0.748739169791802,0.80347427967558,719,354,218,37,91,21,25,10,26,6,40,42.2213587541649,41.3889736259366,43.5635025489192
0.77384764954821,0.80981585991728,696,382,213,42,34,19,12,15,10,8,12,42.2213587541649,41.3889736259366,43.5635025489192
0.696013701350278,0.745848672305727,711,346,234,32,93,17,26,8,25,7,42,42.2213587541649,41.3889736259366,43.5635025489192
0.773993949114238,0.820028588339095,736,331,224,44,48,27,20,10,8,7,20,42.2213587541649,41.3889736259366,43.5635025489192
0.761839580701015,0.813693786927879,722,346,223,34,51,18,16,8,16,8,19,42.2213587541649,41.3889736259366,43.5635025489192
0.687864577376187,0.72292419601082,758,294,239,42,68,16,18,13,18,13,32,42.2213587541649,41.3889736259366,43.5635025489192
