"ROC_observed_outcome","ROC_observed_corrected","ROC_true","sum_low_risk","sum_high_risk","sum_outcome_observed","sum_outcome_true","sum_high_risk_observed","sum_high_risk_true","sum_low_risk_observed","sum_low_risk_true"
0.735516617095565,0.753423544731176,0.668691899070385,1082,209,37,36,14,9,23,27
0.810315726767276,0.831877455656083,0.774536859937701,1082,209,32,29,18,16,14,13
0.705453149001536,0.745525443020873,0.719004867140226,1066,225,31,24,14,10,17,14
0.775039339103068,0.798850151853849,0.684189837802052,1091,200,20,19,8,6,12,13
0.682428001530138,0.72303987409553,0.634257989301879,1061,230,29,23,13,8,16,15
0.693931669010783,0.720950993644138,0.631646538062189,1082,209,27,29,12,11,15,18
0.777767785771383,0.824218062762865,0.678560927458311,1057,234,40,38,20,17,20,21
0.768603554408261,0.789530071435084,0.728917604313174,1087,204,32,27,14,9,18,18
0.755696364567332,0.782672059576919,0.696612261692498,1075,216,31,23,16,10,15,13
0.765843949044586,0.787373423933579,0.664838165210485,1044,247,35,32,21,16,14,16
0.671857686563569,0.695387258859877,0.613634236510833,1084,207,33,34,12,10,21,24
0.657756714060032,0.674889498827025,0.566455696202532,1060,231,25,27,9,7,16,20
0.716859227728793,0.744103126446539,0.679171353580802,1078,213,26,21,8,5,18,16
0.78131400016384,0.804523065247725,0.696137671536078,1057,234,39,36,25,18,14,18
0.732049579459938,0.768735733318331,0.670323514946172,1059,232,36,29,18,12,18,17
0.756731707317073,0.785112297637386,0.697056195393169,1080,211,41,32,20,11,21,21
0.774645458855985,0.80416440999683,0.768695306284805,1056,235,37,34,18,15,19,19
0.748940116587175,0.78037549390462,0.758538522637013,1078,213,33,32,17,15,16,17
0.753750161644898,0.765348133407335,0.737403683261381,1038,253,37,29,17,13,20,16
0.764763169544046,0.787707714898869,0.718119706116337,1048,243,36,34,19,16,17,18
0.787541552247435,0.812595042381523,0.751682501979414,1099,192,33,28,18,13,15,15
0.738648296719452,0.751579584319764,0.724032856385798,1056,235,38,33,18,17,20,16
0.753740417657943,0.775705724604962,0.672011084718923,1070,221,30,28,12,8,18,20
0.808828014792787,0.826529327592877,0.756130573248407,1061,230,42,35,25,18,17,17
0.752707006369427,0.778071536995589,0.713504864311316,1037,254,35,31,18,14,17,17
0.717224984971856,0.736139727088216,0.61424121536696,1092,199,29,29,11,8,18,21
0.718970984909237,0.742263377374389,0.719788297559541,1066,225,44,38,22,18,22,20
0.801941463414634,0.812685844062553,0.730709455202252,1059,232,41,38,24,18,17,20
0.759126984126984,0.798869467696336,0.683280465239228,1060,231,31,30,17,12,14,18
0.694713261648746,0.747185931311525,0.636385350318471,1070,221,31,35,15,14,16,21
0.764644559173948,0.784079982558148,0.781562885749554,1097,194,32,23,15,10,17,13
0.752468529177781,0.791299399108186,0.705383737092931,1075,216,34,32,21,16,13,16
0.74701239008793,0.769371278244638,0.706025179856115,1068,223,40,40,19,18,21,22
0.771884174005871,0.789022396923579,0.730615630376014,1054,237,42,39,21,20,21,19
0.705645161290323,0.736937377284296,0.646005246188316,1063,228,31,29,14,11,17,18
0.756380487804878,0.775698721489638,0.759558238569891,1054,237,41,34,21,17,20,17
0.751890928361516,0.759330638886076,0.740110584518167,1067,224,33,25,18,11,15,14
0.72808280381255,0.766801545570759,0.652695476224888,1059,232,32,33,16,13,16,20
0.767543859649123,0.792157033274601,0.723212091422954,1049,242,37,39,16,16,21,23
0.738917073170732,0.760400615404315,0.705048902987047,1079,212,41,30,16,10,25,20
0.797179253867152,0.819775743858458,0.729595494111623,1102,189,35,31,19,14,16,17
0.761239119303636,0.790804884655142,0.664435215039073,1071,220,31,29,15,11,16,18
0.702695489725113,0.720257950590418,0.695939968404423,1076,215,42,25,18,11,24,14
0.763163103721299,0.810220979008095,0.740453025235634,1095,196,28,26,15,12,13,14
0.756442735291973,0.78211377147497,0.740747402078337,1072,219,44,40,21,18,23,22
0.742520595461772,0.770458115842686,0.742605474493836,1053,238,33,28,16,14,17,14
0.836269830127755,0.85859236294442,0.740277972764285,1065,226,34,34,23,18,11,16
0.733805956839665,0.751904716185058,0.685551558752998,1059,232,45,40,20,15,25,25
0.743134846076023,0.767979083048834,0.666898332009531,1078,213,33,32,16,12,17,20
0.754526091586795,0.78272730900139,0.674570504473474,1073,218,39,38,19,16,20,22
0.754429268292683,0.772636037001809,0.741015021760494,1059,232,41,34,19,15,22,19
0.76424710953,0.789742811364886,0.735116818262886,1061,230,47,45,27,21,20,24
0.69060321025785,0.711125600016572,0.679408710858517,1061,230,34,29,14,13,20,16
0.760813241076599,0.777287895695576,0.733365853658536,1067,224,53,41,25,15,28,26
0.690575972490866,0.739163288883112,0.639936150805716,1076,215,22,26,11,9,11,17
0.723341326938449,0.750651050476421,0.752631056393963,1052,239,40,32,21,18,19,14
0.66048030101815,0.692941030493662,0.603752978554408,1049,242,36,32,14,10,22,22
0.810133821342788,0.845316563988277,0.694452473864238,1045,246,42,33,26,17,16,16
0.779777877161598,0.799557824709789,0.747713830755232,1051,240,43,35,24,18,19,17
0.759892667787405,0.791360952420442,0.690571049136786,1066,225,37,36,20,14,17,22
0.63516179952644,0.685424013295297,0.612024500322373,1100,191,24,22,7,5,17,17
0.736964446628983,0.773785511231798,0.725307219662058,1077,214,39,31,20,15,19,16
0.713129693081578,0.733543463794512,0.697429481346679,1046,245,44,35,16,11,28,24
0.688127090301003,0.710732147238465,0.675296442687747,1072,219,26,26,9,6,17,20
0.726506652104845,0.752561462552079,0.648451100870455,1075,216,32,31,14,11,18,20
0.747470713525027,0.766645916281257,0.699124203821656,1066,225,39,35,19,11,20,24
0.7577914266968,0.790065595031592,0.751421747042766,1066,225,44,35,22,16,22,19
0.75472003103582,0.774179806151322,0.748419017288444,1072,219,37,35,19,15,18,20
0.816868546465449,0.828947763434048,0.776804743428603,1088,203,32,29,16,11,16,18
0.668789808917197,0.699264267267507,0.647658341985901,1085,206,35,29,15,11,20,18
0.73888454084675,0.756135786101149,0.657286578697966,1058,233,43,44,20,16,23,28
0.788446215139442,0.79350563232549,0.707327766975485,1056,235,36,42,16,17,20,25
0.748730236749406,0.767787554177858,0.765559923253311,1096,195,39,34,17,15,22,19
