"ROC_observed_outcome","ROC_observed_corrected","sum_low_risk","sum_high_risk","sum_outcome_observed","sum_outcome_true","sum_high_risk_observed","sum_high_risk_true","sum_low_risk_observed","sum_low_risk_true","mean_age_low_risk_true","mean_age_high_risk_true"
0.746363681493248,0.795658248876612,1076,215,32,67,16,17,16,50,41.9202832822525,43.5635025489192
0.742384383697434,0.821094320813098,1063,228,42,101,18,25,24,76,41.9202832822525,43.5635025489192
0.806125583681494,0.841722229785807,1063,228,39,28,23,11,16,17,41.9202832822525,43.5635025489192
0.666057990261177,0.700118659187464,1080,211,36,52,12,13,24,39,41.9202832822525,43.5635025489192
0.722479163655634,0.741517474531022,1060,231,33,25,14,5,19,20,41.9202832822525,43.5635025489192
0.739568515884305,0.791179366991158,1059,232,37,74,20,17,17,57,41.9202832822525,43.5635025489192
0.685160391278212,0.738794778784023,1070,221,29,29,11,7,18,22,41.9202832822525,43.5635025489192
0.756251091321809,0.802823469901143,1064,227,46,69,25,18,21,51,41.9202832822525,43.5635025489192
0.703995861890599,0.748300880978417,1052,239,37,63,17,18,20,45,41.9202832822525,43.5635025489192
0.737775609756098,0.805708586031045,1072,219,41,46,19,16,22,30,41.9202832822525,43.5635025489192
0.785904815386775,0.829062248594832,1064,227,34,56,20,15,14,41,41.9202832822525,43.5635025489192
0.727734568607267,0.768210505293055,1071,220,42,29,19,10,23,19,41.9202832822525,43.5635025489192
0.632724656927844,0.680736046137474,1069,222,36,42,10,14,26,28,41.9202832822525,43.5635025489192
0.805709736123749,0.847053429200339,1076,215,35,60,22,25,13,35,41.9202832822525,43.5635025489192
0.788007541395705,0.830642569926031,1078,213,29,63,16,18,13,45,41.9202832822525,43.5635025489192
0.77846392208942,0.810170721092858,1051,240,36,38,20,11,16,27,41.9202832822525,43.5635025489192
0.781503339353972,0.823192486236085,1067,224,38,58,19,27,19,31,41.9202832822525,43.5635025489192
0.787361664453298,0.818415104037128,1084,207,36,64,19,22,17,42,41.9202832822525,43.5635025489192
0.737051792828685,0.757751076584422,1068,223,36,18,14,5,22,13,41.9202832822525,43.5635025489192
0.704093962480544,0.735309525053087,1046,245,39,23,16,5,23,18,41.9202832822525,43.5635025489192
0.706994995450409,0.754031490233978,1050,241,35,40,16,13,19,27,41.9202832822525,43.5635025489192
0.742883181780945,0.792371088064243,1062,229,39,87,18,22,21,65,41.9202832822525,43.5635025489192
0.748970783532537,0.78088095660383,1065,226,36,37,16,7,20,30,41.9202832822525,43.5635025489192
0.684546437090042,0.728920501293323,1053,238,43,61,18,21,25,40,41.9202832822525,43.5635025489192
0.693236016765429,0.723268312298693,1062,229,33,34,13,8,20,26,41.9202832822525,43.5635025489192
0.733124436798558,0.775196147298091,1068,223,39,68,18,16,21,52,41.9202832822525,43.5635025489192
0.704858344400177,0.759819135346825,1067,224,36,43,16,10,20,33,41.9202832822525,43.5635025489192
0.702162010388881,0.738445262682658,1081,210,34,35,13,12,21,23,41.9202832822525,43.5635025489192
0.732315474727615,0.800958142304539,1046,245,39,95,22,24,17,71,41.9202832822525,43.5635025489192
0.789020922942334,0.827872196197376,1083,208,44,64,25,20,19,44,41.9202832822525,43.5635025489192
0.764842717420037,0.808142078411946,1054,237,30,52,15,15,15,37,41.9202832822525,43.5635025489192
0.763884780965526,0.828566401946287,1049,242,49,89,30,30,19,59,41.9202832822525,43.5635025489192
0.751789976133652,0.792515258907101,1068,223,34,53,16,17,18,36,41.9202832822525,43.5635025489192
0.72573354480571,0.761300731807124,1080,211,30,47,12,11,18,36,41.9202832822525,43.5635025489192
0.703584229390681,0.73307604797331,1073,218,31,30,10,8,21,22,41.9202832822525,43.5635025489192
0.734030707923113,0.770971868742181,1089,202,27,55,10,10,17,45,41.9202832822525,43.5635025489192
0.78362824608831,0.823912393475583,1069,222,39,28,17,10,22,18,41.9202832822525,43.5635025489192
0.6307493594321,0.703510594348917,1079,212,38,76,15,16,23,60,41.9202832822525,43.5635025489192
0.701334109228846,0.746452423787788,1075,216,37,47,12,10,25,37,41.9202832822525,43.5635025489192
0.601968503937008,0.632519939993743,1073,218,21,32,6,6,15,26,41.9202832822525,43.5635025489192
0.6532217415046,0.687823111016688,1059,232,38,51,12,12,26,39,41.9202832822525,43.5635025489192
0.733073541167066,0.778846355049552,1061,230,40,99,17,26,23,73,41.9202832822525,43.5635025489192
0.763687395203033,0.802495206984342,1037,254,44,37,27,18,17,19,41.9202832822525,43.5635025489192
0.782470119521912,0.813591724530176,1073,218,36,45,19,12,17,33,41.9202832822525,43.5635025489192
0.748598995506212,0.78025111104389,1038,253,30,32,18,10,12,22,41.9202832822525,43.5635025489192
0.735071833029154,0.761093739333858,1057,234,34,38,14,8,20,30,41.9202832822525,43.5635025489192
0.765334712703134,0.803454248701471,1078,213,37,57,19,15,18,42,41.9202832822525,43.5635025489192
0.68010474589422,0.747055106273642,1041,250,37,88,16,25,21,63,41.9202832822525,43.5635025489192
0.693204957945994,0.737500646925231,1057,234,36,67,15,19,21,48,41.9202832822525,43.5635025489192
0.758159364892679,0.789781311471041,1071,220,38,40,18,13,20,27,41.9202832822525,43.5635025489192
0.779040832485013,0.83236970874252,1048,243,28,46,15,15,13,31,41.9202832822525,43.5635025489192
0.79070243902439,0.822810556379042,1081,210,41,62,20,16,21,46,41.9202832822525,43.5635025489192
0.747687527099292,0.793115996871905,1062,229,33,45,16,11,17,34,41.9202832822525,43.5635025489192
0.680692653421263,0.727375244229387,1070,221,38,50,15,10,23,40,41.9202832822525,43.5635025489192
0.729869411243913,0.781349567893779,1068,223,36,69,18,20,18,49,41.9202832822525,43.5635025489192
0.766724433512224,0.804880041441826,1056,235,43,88,21,23,22,65,41.9202832822525,43.5635025489192
0.803740593182824,0.84313657742557,1053,238,36,49,24,15,12,34,41.9202832822525,43.5635025489192
0.748586874363272,0.781587000606032,1054,237,49,61,23,23,26,38,41.9202832822525,43.5635025489192
0.774332540311922,0.809601652315293,1060,231,30,50,16,15,14,35,41.9202832822525,43.5635025489192
0.766876936697654,0.809096634308412,1036,255,36,26,20,9,16,17,41.9202832822525,43.5635025489192
0.792925278219396,0.832647707671236,1066,225,33,35,16,14,17,21,41.9202832822525,43.5635025489192
0.706824308485701,0.761070937741922,1066,225,27,72,11,20,16,52,41.9202832822525,43.5635025489192
0.757983613109512,0.790012299187969,1067,224,40,68,19,20,21,48,41.9202832822525,43.5635025489192
0.74108521690299,0.791644189936623,1064,227,34,55,16,11,18,44,41.9202832822525,43.5635025489192
0.730373668587393,0.791736178546487,1068,223,46,45,22,14,24,31,41.9202832822525,43.5635025489192
0.807129826695044,0.872789985984906,1082,209,26,57,17,18,9,39,41.9202832822525,43.5635025489192
0.749421881774823,0.770975994316667,1046,245,33,21,15,5,18,16,41.9202832822525,43.5635025489192
0.736558575208972,0.784139768567436,1066,225,38,52,18,13,20,39,41.9202832822525,43.5635025489192
0.700035703784601,0.748298837993819,1067,224,38,37,19,10,19,27,41.9202832822525,43.5635025489192
0.803400818926297,0.863399884942653,1064,227,35,48,22,16,13,32,41.9202832822525,43.5635025489192
0.711177384802789,0.789724938255801,1059,232,38,61,18,21,20,40,41.9202832822525,43.5635025489192
0.740364135332186,0.787593087428205,1064,227,39,37,20,12,19,25,41.9202832822525,43.5635025489192
